GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000180613.11,GSX2,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000157404.17,KIT,421,STRING
ENSG00000129152.4,MYOD1,ENSG00000128052.10,KDR,346,STRING
ENSG00000129152.4,MYOD1,ENSG00000084093.19,REST,203,STRING
ENSG00000129152.4,MYOD1,ENSG00000163631.19,ALB,472,STRING
ENSG00000129152.4,MYOD1,ENSG00000081051.8,AFP,281,STRING
ENSG00000129152.4,MYOD1,ENSG00000169429.12,CXCL8,151,STRING
ENSG00000129152.4,MYOD1,ENSG00000138675.17,FGF5,438,STRING
ENSG00000129152.4,MYOD1,ENSG00000152785.8,BMP3,213,STRING
ENSG00000129152.4,MYOD1,ENSG00000138668.20,HNRNPD,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000163623.10,NKX6-1,154,STRING
ENSG00000129152.4,MYOD1,ENSG00000118777.12,ABCG2,165,STRING
ENSG00000129152.4,MYOD1,ENSG00000172238.6,ATOH1,271,STRING
ENSG00000129152.4,MYOD1,ENSG00000138696.11,BMPR1B,220,STRING
ENSG00000129152.4,MYOD1,ENSG00000164032.12,H2AZ1,248,STRING
ENSG00000129152.4,MYOD1,ENSG00000109320.14,NFKB1,352,STRING
ENSG00000129152.4,MYOD1,ENSG00000168769.14,TET2,187,STRING
ENSG00000129152.4,MYOD1,ENSG00000138795.10,LEF1,275,STRING
ENSG00000129152.4,MYOD1,ENSG00000145362.21,ANK2,266,STRING
ENSG00000129152.4,MYOD1,ENSG00000172403.11,SYNPO2,207,STRING
ENSG00000129152.4,MYOD1,ENSG00000109471.5,IL2,516,STRING
ENSG00000129152.4,MYOD1,ENSG00000138685.18,FGF2,590,STRING
ENSG00000129152.4,MYOD1,ENSG00000145391.14,SETD7,791,STRING
ENSG00000129152.4,MYOD1,ENSG00000109424.4,UCP1,502,STRING
ENSG00000129152.4,MYOD1,ENSG00000164136.17,IL15,159,STRING
ENSG00000129152.4,MYOD1,ENSG00000153147.6,SMARCA5,159,STRING
ENSG00000129152.4,MYOD1,ENSG00000145423.5,SFRP2,267,STRING
ENSG00000129152.4,MYOD1,ENSG00000120251.22,GRIA2,382,STRING
ENSG00000129152.4,MYOD1,ENSG00000164122.9,ASB5,192,STRING
ENSG00000129152.4,MYOD1,ENSG00000151726.16,ACSL1,157,STRING
ENSG00000129152.4,MYOD1,ENSG00000151729.11,SLC25A4,184,STRING
ENSG00000129152.4,MYOD1,ENSG00000083857.15,FAT1,176,STRING
ENSG00000129152.4,MYOD1,ENSG00000205097.7,FRG2,528,STRING
ENSG00000129152.4,MYOD1,ENSG00000260596.5,DUX4,729,STRING
ENSG00000129152.4,MYOD1,ENSG00000073578.18,SDHA,229,STRING
ENSG00000129152.4,MYOD1,ENSG00000164362.21,TERT,293,STRING
ENSG00000129152.4,MYOD1,ENSG00000170549.4,IRX1,206,STRING
