Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TRN-GTT2-7","TRNA-Asn (Anticodon GTT) 2-7","RNA Gene","","10","GC01P182946","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRN-GTT2-7"
"TRV-AAC1-4","TRNA-Val (Anticodon AAC) 1-4","RNA Gene","","8","GC05M181218","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRV-AAC1-4"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","P08069","68","GC15P098648","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","Q15910","66","GC07M148807","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"CCND1","Cyclin D1","Protein Coding","P24385","65","GC11P069641","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"CTSD","Cathepsin D","Protein Coding","P07339","65","GC11M001752","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","64","GC01P032292","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"NGF","Nerve Growth Factor","Protein Coding","P01138","64","GC01M115285","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"CTSB","Cathepsin B","Protein Coding","P07858","63","GC08M011842","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"GATA3","GATA Binding Protein 3","Protein Coding","P23771","63","GC10P008045","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3"
"PPP2CA","Protein Phosphatase 2 Catalytic Subunit Alpha","Protein Coding","P67775","63","GC05M134194","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CA"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","62","GC05P161129","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","P12644","62","GC14M053949","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"FANCA","FA Complementation Group A","Protein Coding","O15360","62","GC16M090325","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P168341","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"RARB","Retinoic Acid Receptor Beta","Protein Coding","P10826","62","GC03P029063","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARB"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"TUBB","Tubulin Beta Class I","Protein Coding","P07437","62","GC06P190688","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB"
"VDR","Vitamin D Receptor","Protein Coding","P11473","62","GC12M047841","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"ABCC2","ATP Binding Cassette Subfamily C Member 2","Protein Coding","Q92887","61","GC10P099782","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2"
"GRK2","G Protein-Coupled Receptor Kinase 2","Protein Coding","P25098","61","GC11P067266","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK2"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","61","GC11M015857","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","61","GC17M027756","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"PFKM","Phosphofructokinase, Muscle","Protein Coding","P08237","61","GC12P048105","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKM"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","P16435","61","GC07P075899","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"PRNP","Prion Protein (Kanno Blood Group)","Protein Coding","F7VJQ1","61","GC20P004686","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNP"
"THRA","Thyroid Hormone Receptor Alpha","Protein Coding","P10827","61","GC17P040058","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRA"
"CD46","CD46 Molecule","Protein Coding","P15529","60","GC01P207752","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD46"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","60","GC05P075336","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","60","GC12M102395","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"ITGA3","Integrin Subunit Alpha 3","Protein Coding","P26006","60","GC17P050055","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA3"
"KLK3","Kallikrein Related Peptidase 3","Protein Coding","P07288","60","GC19P050854","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3"
"RPS19","Ribosomal Protein S19","Protein Coding","P39019","60","GC19P162158","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19"
"UBE2I","Ubiquitin Conjugating Enzyme E2 I","Protein Coding","P63279","60","GC16P128010","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2I"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"CDK9","Cyclin Dependent Kinase 9","Protein Coding","P50750","59","GC09P155954","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9"
"CHI3L1","Chitinase 3 Like 1","Protein Coding","P36222","59","GC01M203148","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1"
"CLDN1","Claudin 1","Protein Coding","O95832","59","GC03M190305","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN1"
"DDX5","DEAD-Box Helicase 5","Protein Coding","P17844","59","GC17M064498","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX5"
"FSHR","Follicle Stimulating Hormone Receptor","Protein Coding","P23945","59","GC02M048962","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR"
"FTO","FTO Alpha-Ketoglutarate Dependent Dioxygenase","Protein Coding","Q9C0B1","59","GC16P129419","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"
"IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","P17936","59","GC07M045912","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3"
"ILK","Integrin Linked Kinase","Protein Coding","Q13418","59","GC11P022985","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILK"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"MAD1L1","Mitotic Arrest Deficient 1 Like 1","Protein Coding","Q9Y6D9","59","GC07M001815","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD1L1"
"OTC","Ornithine Transcarbamylase","Protein Coding","P00480","59","GC0XP038345","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC"
"CALCRL","Calcitonin Receptor Like Receptor","Protein Coding","Q16602","58","GC02M187341","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCRL"
"GHR","Growth Hormone Receptor","Protein Coding","P10912","58","GC05P042429","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","P29033","58","GC13M020187","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"PTPA","Protein Phosphatase 2 Phosphatase Activator","Protein Coding","Q15257","58","GC09P156015","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA"
"TJP1","Tight Junction Protein 1","Protein Coding","Q07157","58","GC15M029699","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1"
"BGN","Biglycan","Protein Coding","P21810","57","GC0XP153494","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGN"
"C4A","Complement C4A (Chido/Rodgers Blood Group)","Protein Coding","P0C0L4","57","GC06P190729","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A"
"CBR1","Carbonyl Reductase 1","Protein Coding","P16152","57","GC21P036069","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBR1"
"FMR1","Fragile X Messenger Ribonucleoprotein 1","Protein Coding","Q06787","57","GC0XP148000","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1"
"GARS1","Glycyl-TRNA Synthetase 1","Protein Coding","P41250","57","GC07P030580","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GARS1"
"HPSE","Heparanase","Protein Coding","Q9Y251","57","GC04M083292","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE"
"KAT8","Lysine Acetyltransferase 8","Protein Coding","Q9H7Z6","57","GC16P128967","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT8"
"LGALS3","Galectin 3","Protein Coding","P17931","57","GC14P055124","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3"
"PPID","Peptidylprolyl Isomerase D","Protein Coding","Q08752","57","GC04M158709","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPID"
"SPTA1","Spectrin Alpha, Erythrocytic 1","Protein Coding","P02549","57","GC01M158610","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTA1"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","P01033","57","GC0XP061588","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"TRIM25","Tripartite Motif Containing 25","Protein Coding","Q14258","57","GC17M056836","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM25"
"ACTG2","Actin Gamma 2, Smooth Muscle","Protein Coding","P63267","56","GC02P073892","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG2"
"C4B","Complement C4B (Chido/Rodgers Blood Group)","Protein Coding","P0C0L5","56","GC06P032014","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4B"
"CHD3","Chromodomain Helicase DNA Binding Protein 3","Protein Coding","Q12873","56","GC17P164159","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD3"
"DDX41","DEAD-Box Helicase 41","Protein Coding","Q9UJV9","56","GC05M177511","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41"
"MGAT2","Alpha-1,6-Mannosyl-Glycoprotein 2-Beta-N-Acetylglucosaminyltransferase","Protein Coding","Q10469","56","GC14P049620","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGAT2"
"RARS1","Arginyl-TRNA Synthetase 1","Protein Coding","P54136","56","GC05P168487","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS1"
"SLC3A2","Solute Carrier Family 3 Member 2","Protein Coding","P08195","56","GC11P062856","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2"
"SP3","Sp3 Transcription Factor","Protein Coding","Q02447","56","GC02M173882","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP3"
"SRSF1","Serine And Arginine Rich Splicing Factor 1","Protein Coding","Q07955","56","GC17M101438","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF1"
"CD151","CD151 Molecule (Raph Blood Group)","Protein Coding","P48509","55","GC11P022706","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD151"
"COL4A6","Collagen Type IV Alpha 6 Chain","Protein Coding","Q14031","55","GC0XM108155","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A6"
"DGKQ","Diacylglycerol Kinase Theta","Protein Coding","P52824","55","GC04M000958","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKQ"
"POU2F2","POU Class 2 Homeobox 2","Protein Coding","P09086","55","GC19M042086","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F2"
"RAMP1","Receptor Activity Modifying Protein 1","Protein Coding","O60894","55","GC02P237858","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP1"
"RPL21","Ribosomal Protein L21","Protein Coding","P46778","55","GC13P027251","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL21"
"RPLP0","Ribosomal Protein Lateral Stalk Subunit P0","Protein Coding","P05388","55","GC12M120196","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0"
"SSB","Small RNA Binding Exonuclease Protection Factor La","Protein Coding","P05455","55","GC02P169791","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSB"
"TCN2","Transcobalamin 2","Protein Coding","P20062","55","GC22P097161","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCN2"
"RHOG","Ras Homolog Family Member G","Protein Coding","P84095","54","GC11M015922","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOG"
"TMSB4X","Thymosin Beta 4 X-Linked","Protein Coding","P62328","54","GC0XP012975","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB4X"
"ESAM","Endothelial Cell Adhesion Molecule","Protein Coding","Q96AP7","53","GC11M124752","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESAM"
"HBA2","Hemoglobin Subunit Alpha 2","Protein Coding","P69905","53","GC16P127981","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA2"
"HNRNPH2","Heterogeneous Nuclear Ribonucleoprotein H2","Protein Coding","P55795","53","GC0XP101408","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH2"
"MTF1","Metal Regulatory Transcription Factor 1","Protein Coding","Q14872","53","GC01M038589","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTF1"
"RPLP2","Ribosomal Protein Lateral Stalk Subunit P2","Protein Coding","P05387","53","GC11P022705","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP2"
"DIO3","Iodothyronine Deiodinase 3","Protein Coding","P55073","52","GC14P121596","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO3"
"EIF1AX","Eukaryotic Translation Initiation Factor 1A X-Linked","Protein Coding","P47813","52","GC0XM020124","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1AX"
"IFNA1","Interferon Alpha 1","Protein Coding","P01562","52","GC09P022139","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"KANSL1","KAT8 Regulatory NSL Complex Subunit 1","Protein Coding","Q7Z3B3","52","GC17M101141","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL1"
"PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","P54277","52","GC02P189784","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS1"
"YBX3","Y-Box Binding Protein 3","Protein Coding","P16989","52","GC12M037054","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YBX3"
"PCMT1","Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase","Protein Coding","P22061","51","GC06P149749","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCMT1"
"SS18L1","SS18L1 Subunit Of BAF Chromatin Remodeling Complex","Protein Coding","O75177","51","GC20P062143","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS18L1"
"USP9Y","Ubiquitin Specific Peptidase 9 Y-Linked","Protein Coding","O00507","51","GC0YP012569","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP9Y"
"MPP1","MAGUK P55 Scaffold Protein 1","Protein Coding","Q00013","50","GC0XM154779","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP1"
"PMM1","Phosphomannomutase 1","Protein Coding","Q92871","50","GC22M041576","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMM1"
"SF3A2","Splicing Factor 3a Subunit 2","Protein Coding","Q15428","50","GC19P002236","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3A2"
"ZFX","Zinc Finger Protein X-Linked","Protein Coding","P17010","50","GC0XP024148","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFX"
"FN3K","Fructosamine 3 Kinase","Protein Coding","Q9H479","49","GC17P082735","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN3K"
"ME1","Malic Enzyme 1","Protein Coding","P48163","49","GC06M083210","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ME1"
"SLC25A17","Solute Carrier Family 25 Member 17","Protein Coding","O43808","49","GC22M088444","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A17"
"POU2AF1","POU Class 2 Homeobox Associating Factor 1","Protein Coding","Q16633","47","GC11M111352","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2AF1"
"RO60","Ro60, Y RNA Binding Protein","Protein Coding","P10155","47","GC01P193059","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RO60"
"FN3KRP","Fructosamine 3 Kinase Related Protein","Protein Coding","Q9HA64","46","GC17P082716","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN3KRP"
"GNPDA1","Glucosamine-6-Phosphate Deaminase 1","Protein Coding","P46926","46","GC05M141991","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPDA1"
"MED10","Mediator Complex Subunit 10","Protein Coding","Q9BTT4","46","GC05M006371","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED10"
"ZNF451","Zinc Finger Protein 451","Protein Coding","Q9Y4E5","45","GC06P057086","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF451"
"ETV7","ETS Variant Transcription Factor 7","Protein Coding","Q9Y603","44","GC06M111711","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV7"
"UTY","Ubiquitously Transcribed Tetratricopeptide Repeat Containing, Y-Linked","Protein Coding","O14607","44","GC0YM013231","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTY"
"ZBED1","Zinc Finger BED-Type Containing 1","Protein Coding","O96006","44","GC0XM002486","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBED1"
"MRPL13","Mitochondrial Ribosomal Protein L13","Protein Coding","Q9BYD1","42","GC08M120377","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL13"
"ATXN7L3B","Ataxin 7 Like 3B","Protein Coding","Q96GX2","40","GC12P074537","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7L3B"
"RBM11","RNA Binding Motif Protein 11","Protein Coding","P57052","40","GC21P014216","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM11"
"SPMIP6","Sperm Microtubule Inner Protein 6","Protein Coding","Q8NCR6","40","GC09M036466","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPMIP6"
"SURF2","Surfeit 2","Protein Coding","Q15527","40","GC09P156262","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF2"
"BPY2","Basic Charge Y-Linked 2","Protein Coding","O14599","34","GC0YP022973","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPY2"
"CDY2B","Chromodomain Y-Linked 2B","Protein Coding","Q9Y6F7","33","GC0YM017877","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDY2B"
"GAS5","Growth Arrest Specific 5","RNA Gene","","32","GC01M175197","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"VCY1B","Variable Charge Y-Linked 1B","Protein Coding","O14598","30","GC0YP014973","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCY1B"
"PCA3","Prostate Cancer Associated 3","RNA Gene","","29","GC09P076691","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCA3"
"BPY2B","Basic Charge Y-Linked 2B","Protein Coding","O14599","27","GC0YP024607","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPY2B"
"BPY2C","Basic Charge Y-Linked 2C","Protein Coding","O14599","27","GC0YM025030","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPY2C"
"BAGE2","BAGE Family Member 2 (Pseudogene)","Pseudogene","Q86Y30","25","GC21P010413","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAGE2"
"PRY2","PTPN13 Like Y-Linked 2","RNA Gene","O14603","23","GC0YM022071","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRY2"
"SNORD24","Small Nucleolar RNA, C/D Box 24","RNA Gene","","23","GC09P133349","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD24"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","22","GC15P025135","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","21","GC08P078838","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"PRYP3","PTPN13 Like Y-Linked Pseudogene 3","Pseudogene","O14603","15","GC0YM023681","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRYP3"
"TRC-GCA24-1","TRNA-Cys (GCA) 24-1","RNA Gene","","14","GC17M100844","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRC-GCA24-1"
"MIR644A","MicroRNA 644a","RNA Gene","","13","GC20P055779","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR644A"
"RPS17P2","Ribosomal Protein S17 Pseudogene 2","Pseudogene","","13","GC05P116716","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS17P2"
"RPL7AP10","Ribosomal Protein L7a Pseudogene 10","Pseudogene","","11","GC19M021149","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7AP10"
"RPL7AP9","Ribosomal Protein L7a Pseudogene 9","Pseudogene","","11","GC12P076599","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7AP9"
"WHR1B","Winged Helix Repair Factor 1B (Pseudogene)","Pseudogene","","11","GC06P032013","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WHR1B"
"RPS20P3","Ribosomal Protein S20 Pseudogene 3","Pseudogene","","7","GC05P108593","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20P3"
"XS","X-Linked Suppressor Of LU Antigens","Genetic Locus","","4","GC0XU990239","0.230514585971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XS"
"CREBBP","CREB Binding Lysine Acetyltransferase ","Protein Coding","Q92793","68","GC16M052313","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","P13569","66","GC07P117287","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"DNMT1","DNA Methyltransferase 1","Protein Coding","P26358","66","GC19M010133","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"HDAC2","Histone Deacetylase 2","Protein Coding","Q92769","66","GC06M113933","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","66","GC16P129449","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","65","GC02M025228","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"HDAC4","Histone Deacetylase 4","Protein Coding","P56524","65","GC02M239048","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC4"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","65","GC01M226360","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"PLK1","Polo Like Kinase 1","Protein Coding","P53350","65","GC16P128614","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK1"
"PRKACA","Protein Kinase CAMP-Activated Catalytic Subunit Alpha","Protein Coding","P17612","65","GC19M112024","0.162998422980309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA"
